"scenario_id","scenario_name","prompt","question","total_correct_answers","total_candidates","total_candidate_correct_answers","average_score"
"0372f500-6420-4bed-be55-741e7c522448","02 - Soft Tissue Mass 01","You perform a punch/core biopsy in clinic. The pathology returns Merkel cell carcinoma, infiltrative pattern, at least 1.8 cm in depth, extending to the dermal fat, with lymphovascular invasion. The patient is back in your clinic and asking what are the next steps. ","What is your next step in management? ","4","99","218","0.55050505050505050505"
"090bc6a0-0434-4f58-a280-333d0e7533a8","06b - Pancreas - nec panc","8 days later, the patient is still intubated in the unit. He is off pressors and you were able to start diuresis but only 2-3 liters of fluid are off before his blood pressures drop to unsafe levels. Overnight he spikes a fever to 39°C and pressures drop further, prompting him back on pressors. ","What would you like to do next?","7","42","134","0.45578231292517006803"
"090bc6a0-0434-4f58-a280-333d0e7533a8","06b - Pancreas - nec panc","Let’s change the setting. Now you are in a community/rural hospital without IR or advanced GI capabilities and the same situation. You cannot transfer the patient to another hospital. ","What would you do?","1","26","26","1.00000000000000000000"
"090bc6a0-0434-4f58-a280-333d0e7533a8","06b - Pancreas - nec panc","Please describe an open pancreatic debridement/necrosectomy","","4","21","64","0.76190476190476190476"
"090bc6a0-0434-4f58-a280-333d0e7533a8","06b - Pancreas - nec panc","Post op, the patient remains critically ill and continues to worsen despite best supportive care. He is now on 4 pressors at maximum doses. His family demands a meeting and is upset that the patient is likely going to die. They are asking why you didn’t operate immediately and are asking if you did something wrong.","How would you respond?","4","19","31","0.40789473684210526316"
"090bc6a0-0434-4f58-a280-333d0e7533a8","06b - Pancreas - nec panc","The patient is admitted to the ICU and overnight the patient continues to worsen. His pain is worse, his breathing more rapid and shallow, and he has trouble finding words and is acting confused. He has received 7 liters of IV fluids and urine output remains <0.5 cc/kg. The overnight ICU team placed an arterial line and started him on vasopressors. Repeat labs demonstrate a WBC of 20. O2 saturation is now 84% on high-flow nasal cannula.","What would you like to do next?","3","50","93","0.62000000000000000000"
"090bc6a0-0434-4f58-a280-333d0e7533a8","06b - Pancreas - nec panc","You are consulted on a patient in the ER. The patient is a 58 year old male who presents with 2 days of severe epigastric and LUQ abdominal pain, nausea and vomiting. He reports heavy alcohol consumption prior to the pain’s onset. He has had some subjective fevers and chills.
He has no known medical history and denies prior surgeries. Apart from heavy alcohol use, the remainder of his history is non-contributory.

Vitals: Temp 100.1, HR 110s, BP 91/65, respirations 20/min, SpO2 92% RA
Exam: Abdomen is slightly distended, significantly tender in epigastrium, LUQ and RUQ with some guarding, Non tender in RLQ and LLQ

The ER got labs showing WBC 16.5K, CO2 20, BUN 40, Creatinine 2.0, Glucose 250 and Ca 8.5. Liver enzymes are elevated with AST 300, ALT 250 and Alk phos 250. Bilirubin is 2.4, and albumin is 3.2. Lipase is >30,000, Lactate is 2.1"," What other workup would you like?","2","49","74","0.75510204081632653061"
"090bc6a0-0434-4f58-a280-333d0e7533a8","06b - Pancreas - nec panc","You get a right upper quadrant ultrasound that shows normal liver texture, mild biliary dilation, no gallstones

You also get a CT Abdomen/pelvis which shows an edematous pancreas that does not enhance with contrast. There is fluid in the lesser sac and bilateral paracolic gutters and a small left pleural effusion. There is no free air.","What is your diagnosis and what would you like to do next?","9","54","247","0.50823045267489711934"
"090bc6a0-0434-4f58-a280-333d0e7533a8","06b - Pancreas - nec panc","You intubate the patient successfully and place on a ventilator. You auscultate and note the left lung sounds are decreased. You get an ABG that shows a pH of 7.25, pCO2 65, pO2 130 on 100% FiO2.  You obtain a CXR and find the ETT is in the right mainstem bronchus, as well as a left pleural effusion and bilateral pulmonary edema. ","What would you like to do next?","5","48","102","0.42500000000000000000"
"090bc6a0-0434-4f58-a280-333d0e7533a8","06b - Pancreas - nec panc","You pan culture the patient and start antibiotics. You obtain a chest x-ray which shows persistent bilateral pulmonary infiltrates and a small left pleural effusion. A CT Chest/abdomen/pelvis shows the necrotic pancreas and peri pancreatic fluid collections now have several small air pockets. You are in an academic center with excellent IR and advanced GI capability","What would you like to do next?","2","34","59","0.86764705882352941176"
"090bc6a0-0434-4f58-a280-333d0e7533a8","06b - Pancreas - nec panc","You pull back the tube and his oxygenation and ventilation both improve. He continues to remain on 1 pressor, but after 10L if IV crystalloid you are able to wean him off pressor. He still is agitated and unable to wean off the vent on morning wean trials. ","How would you proceed?","6","42","91","0.36111111111111111111"
"0d8259a3-87be-4e22-b759-c7fa97ae4887","06a - Hernia - VHR dehiscence","45 years old female with obesity, diabetes, and hypertension presents to your clinic for evaluation of a hernia. Her past surgical history includes 2 prior ventral hernia repairs, the last being 3 years ago, after an open umbilical hernia repair 7 years ago that was complicated by post-operative infection. Patient states she has a bulge in her hernia repair incision that is worse with abdominal strain and coughing. She can reduce the hernia without difficulty. But she has progressive bothersome dull pain that prevents her from exercising and so she would like to have it fixed. 

Patient drinks 1-2 beers daily and smokes 1 ppd.  

On exam, her vitals are BP 145/90;  HR 80; O2 sat 92% RA. Her BMI is 43. She has a non-tender, reducible ventral hernia, but is difficult to reduce due to her habitus. The bulge is about 5 cm in length and 3 cm in width. It’s difficult to assess the fascial defect due to her obesity","What additional workup would you like to obtain, if any?","5","54","178","0.65925925925925925926"
"0d8259a3-87be-4e22-b759-c7fa97ae4887","06a - Hernia - VHR dehiscence","After removing some staples you observe a wide open fascial defect with exposed mesh edge and visible bowel deep to the lateral edge of the exposed fascial defect","What would you like to do?","3","36","69","0.63888888888888888889"
"0d8259a3-87be-4e22-b759-c7fa97ae4887","06a - Hernia - VHR dehiscence","Her labs and imaging return. Her Creatinine is normal at 0.9 ; comprehensive metabolic panel is normal except for an albumin of 3.3 and a glucose of 200. Her Hgb A1c is 8 and her prealbumin is 10 

CT of the abdomen/pelvis shows an anterior abdominal wall fascial defect measuring 4 cm long and 2 cm wide at the superior edge of a previous mesh. The hernia contains a portion of small bowel with no signs of obstruction. Some small bowel also appears intimately associated with the mesh.
","This patient has a recurrent ventral hernia. What is your initial management? ","8","54","299","0.69212962962962962963"
"0d8259a3-87be-4e22-b759-c7fa97ae4887","06a - Hernia - VHR dehiscence","Patient returns to clinic 2 months later. She has stopped smoking and lost 5 lbs. Her blood sugars are consistently 125-175.  She is asking to have the surgery now because her hernia is more bothersome. You think she has improved to the point of tolerating a surgery","What would you like to do now and what surgery would you consent her for?","3","50","107","0.71333333333333333333"
"0d8259a3-87be-4e22-b759-c7fa97ae4887","06a - Hernia - VHR dehiscence","She consents to surgery. Please briefly describe your procedure","","5","48","179","0.74583333333333333333"
"0d8259a3-87be-4e22-b759-c7fa97ae4887","06a - Hernia - VHR dehiscence","So you are back in the abdomen and there does not appear to be any bowel injury or leaks.  The sutures appear to have torn through the fascia and the edges appear ischemic.  You are able to debride back to healthy edges, but now the edges won’t come together without tension.","How would you proceed?","7","27","51","0.26984126984126984127"
"0d8259a3-87be-4e22-b759-c7fa97ae4887","06a - Hernia - VHR dehiscence","The patient understands the importance of preoperative medical optimization prior to elective hernia repair.","How long would you treat this patient in a non-operative fashion?","3","42","81","0.64285714285714285714"
"0d8259a3-87be-4e22-b759-c7fa97ae4887","06a - Hernia - VHR dehiscence","You do an extensive adhesiolysis and there was no bowel injury. Half of the old mesh was unincorporated, which you removed.  The fascial defect is 11cm long by 5 cm wide; the fascial edges will not come together. ","Briefly describe the key concepts of an open anterior component separation versus a Rives-Stoppa repair","2","41","57","0.69512195121951219512"
"0d8259a3-87be-4e22-b759-c7fa97ae4887","06a - Hernia - VHR dehiscence","You get the patient closed with an anterior component separation. On POD2, you notice that the patient has thin pink drainage coming from her incision","What is your differential diagnosis and management?","4","39","77","0.49358974358974358974"
"10c44a8d-9d67-448d-8b20-f362489605b3","03 - GI - Gallbladder - Acalculous Cholecystitis","After a discussion with his cardiologist and cardiac surgeon, you decide to take the patient to the OR for a laparoscopic cholecystectomy.  The case is uneventful, and afterwards you transfer the patient to the operating room in stable condition.

Two hours later, the recovery room nurse calls and informs you that the patient’s BP is 80/40.  You go to see the patient.  He is afebrile, his HR is 110, and RR is 16.  Abdominal exam reveals appropriate tenderness.  Port sites look fine. ","How do you want to further evaluate this patient?","5","73","205","0.56164383561643835616"
"10c44a8d-9d67-448d-8b20-f362489605b3","03 - GI - Gallbladder - Acalculous Cholecystitis","[If candidate doesn't answer correctly]: A colleague you were conversing with threw out acalculous cholecystitis as the diagnosis. Would you agree?
[If candidate answers correctly]: proceed to next question","How do you want to treat this patient?","5","74","172","0.46486486486486486486"
"10c44a8d-9d67-448d-8b20-f362489605b3","03 - GI - Gallbladder - Acalculous Cholecystitis","In general, what are some potential major causes of hypotension in the PACU?","","7","67","179","0.38166311300639658849"
"10c44a8d-9d67-448d-8b20-f362489605b3","03 - GI - Gallbladder - Acalculous Cholecystitis","Let’s say that you had treated this patient with a percutaneous cholecystostomy tube and the patient clinically improved.  He was discharged home with his drain.  ","How would you manage him as an outpatient?","3","46","101","0.73188405797101449275"
"10c44a8d-9d67-448d-8b20-f362489605b3","03 - GI - Gallbladder - Acalculous Cholecystitis","Routine labs are significant for a WBC of 13,000 and his alkaline phosphatase is mildly elevated.  Remaining LFTs and other labs are normal.  EKG and CXR are normal.  ","Any additional studies you would like to order?","2","81","117","0.72222222222222222222"
"10c44a8d-9d67-448d-8b20-f362489605b3","03 - GI - Gallbladder - Acalculous Cholecystitis","The RUQ U/S shows a dilated and distended gallbladder without stones.  There is no wall thickening or pericholecystic fluid.  The visualized portions of the intra- and extrahepatic ducts are normal.

On the HIDA scan, the gallbladder did not fill although there was good uptake in the liver and good excretion into the duodenum.
","What is your diagnosis?","1","82","82","1.00000000000000000000"
"10c44a8d-9d67-448d-8b20-f362489605b3","03 - GI - Gallbladder - Acalculous Cholecystitis","You are the general surgeon on call for your hospital.  You are asked to see a 70-year-old man who is five days out (POD#5) from open heart surgery.  He is on the telemetry unit and was started on a diet yesterday.  He began complaining of RUQ pain, so the cardiology service called you for consultation.  His past medical history is significant for coronary artery disease and hypertension for which he takes metoprolol.  He is a non-smoker and non-drinker.  The rest of history is unremarkable.  His operative course was uneventful with a single-vessel LIMA to LAD CABG.","On exam, his vital signs are normal except for a low-grade temp of 100.8.  Overall, he appears mildly ill.  Exam is significant for a median sternotomy incision that his healing well and some mild tenderness to deep palpation in the RUQ.  Murphy’s sign is absent.  There are no peritoneal signs.  The rest of the exam is unremarkable.  How do you want to proceed?","7","82","335","0.58362369337979094077"
"111a918f-809f-4692-8e77-6305194230af","01d - Endocrine - Adrenal - Aldosteronoma 01","A 40 year old female is referred to your clinic for evaluation of a 2 cm left adrenal mass found on CT scan done when patient was admitted a month ago after an MVC.  Patient denies any symptoms such as headache, palpitations, weight changes, or diarrhea.  Her history is significant for hypertension controlled with 1 medication.  She has no other medical problems or past surgeries.  Her family history is unknown because she was adopted.  She does not smoke or drink.  

You obtain a set of vitals which demonstrates a temperature of 37.4 Celsius, HR 85, BP 145/80, and respiratory rate of 14 with 98% O2 saturation.  
Physical exam is unremarkable.
","Which labs and imaging would you like to obtain?","8","173","1044","0.75433526011560693642"
"111a918f-809f-4692-8e77-6305194230af","01d - Endocrine - Adrenal - Aldosteronoma 01","After 6 weeks the drain output continues to be high.  ","What is your management now?","2","127","200","0.78740157480314960630"
"111a918f-809f-4692-8e77-6305194230af","01d - Endocrine - Adrenal - Aldosteronoma 01","Is there anything else you would do to confirm the diagnosis? ","","3","135","149","0.36790123456790123456"
"111a918f-809f-4692-8e77-6305194230af","01d - Endocrine - Adrenal - Aldosteronoma 01","Patient does fine overnight.  The next day on rounds, you notice clear yellowish fluid in the drain.  ","What is your diagnosis and management at this point?","3","145","346","0.79540229885057471265"
"111a918f-809f-4692-8e77-6305194230af","01d - Endocrine - Adrenal - Aldosteronoma 01","The CBC is normal.  
BMP is significant for Na 145 and potassium 2.7.   
Plasma/urine metanephrines are low
Plasma aldosterone is 35 (>25 is abnormal)
Plasma aldosterone to renin ratio is 45 (> 30 is abnormal)
Plasma cortisol levels at 8 AM and 6 PM are normal
Overnight dexamethasome suppression test is normal

An adrenal protocol CT shows a benign-appearing (<10 Houndsfield unit) 2.1 cm adrenal mass on the left and no adrenal lesion on the right","What is your diagnosis?","1","161","161","1.00000000000000000000"
"111a918f-809f-4692-8e77-6305194230af","01d - Endocrine - Adrenal - Aldosteronoma 01","The patient is agreeable to surgery.  Please describe how you would proceed. ","","9","158","686","0.48241912798874824191"
"111a918f-809f-4692-8e77-6305194230af","01d - Endocrine - Adrenal - Aldosteronoma 01","What are potential complications during adrenalectomy for this patient (left-sided)?","","4","110","307","0.69772727272727272727"
"111a918f-809f-4692-8e77-6305194230af","01d - Endocrine - Adrenal - Aldosteronoma 01","What are the options for pancreatic leak management?","When drain output < 200 cc daily","3","135","271","0.66913580246913580247"
"111a918f-809f-4692-8e77-6305194230af","01d - Endocrine - Adrenal - Aldosteronoma 01","You send the left adrenal gland off as specimen and assess the surgical area for hemostasis.  You see a 1 cm laceration to the midportion of the spleen and it is bleeding.  ","What is your management at this point?","3","155","313","0.67311827956989247312"
"1624ceb0-b9bc-4f37-8f77-22cce2b8c5c9","07b - Soft tissue - NSTI, Shock","A 65-year-old male presents to the emergency room with worsening right lower extremity pain for the past 5 days. 5 days prior, he accidentally hit his shin on a table and had a small laceration that he attributed the pain to. He also has noticed that his leg has become increasingly red and hot to the touch. His medical history is significant for poorly controlled diabetes, hyperlipidemia, and chronic kidney disease. He has no surgical history. 

In the emergency room, his vitals show a temperature of 38.6 Celsius, HR of 125, and BP 100/80. On exam, his right leg has diffuse erythema and cellulitis. He has pain out of proportion to the exam when you palpate the extremity. There is crepitus on exam with some blistering. There is a small scab at the site of his laceration. There is no overlying redness proximal to the knee. His pulse exam is normal.","What is your working diagnosis and how would you proceed in managing this patient?","5","33","146","0.88484848484848484848"
"1624ceb0-b9bc-4f37-8f77-22cce2b8c5c9","07b - Soft tissue - NSTI, Shock","Chest XR confirms central line is placed in a good position. Levophed is started and MAPs improve. He is still tachycardic and febrile.","How would you proceed?","1","26","26","1.00000000000000000000"
"1624ceb0-b9bc-4f37-8f77-22cce2b8c5c9","07b - Soft tissue - NSTI, Shock","His blood work comes back with a WBC count of 20,000, Hb 12, CRP 30 mg/dL, Sodium 125 mEq/L, and creatinine 2.0 mg/dl. Glucose on his BMP is 450. His LRINEC score is 10. After resuscitation and administration of antibiotics, his HR decreases to 110 and his blood pressure remains stable. He remains febrile.","How would you proceed?","3","33","59","0.59595959595959595960"
"1624ceb0-b9bc-4f37-8f77-22cce2b8c5c9","07b - Soft tissue - NSTI, Shock","The patient subsequently improves but has a large wound.","How would you counsel this patient on what his reconstructive options are?","1","22","22","1.00000000000000000000"
"1624ceb0-b9bc-4f37-8f77-22cce2b8c5c9","07b - Soft tissue - NSTI, Shock","You decide to place a central line in the internal jugular vein to initiate vasoactive medications. ","Can you explain how you would place a central line?","6","30","135","0.75000000000000000000"
"1624ceb0-b9bc-4f37-8f77-22cce2b8c5c9","07b - Soft tissue - NSTI, Shock","You explain the urgency of the operation to the patient who is understanding, and you immediately take him to the OR.","Can you explain your operation and how would you manage the patient post-operatively?","7","28","136","0.69387755102040816326"
"1624ceb0-b9bc-4f37-8f77-22cce2b8c5c9","07b - Soft tissue - NSTI, Shock","You perform a wide debridement of all clearly necrotic tissue that requires circumferential skin excision from above the ankle to below the knee. Cultures and gram stain are pending. The extremity is wrapped in betadine-soaked gauze. He tolerates the surgery well and is extubated and taken to the ICU for further care. After a few hours in the ICU, his fevers return and he becomes increasingly tachycardic to 130s. His blood pressure is now 80/60. On exam, his primary dressing is intact without evidence of bleeding. Repeat blood work shows stable hemoglobin; however, there is an increasing leukocytosis.","How would you proceed?","3","32","77","0.80208333333333333333"
"1624ceb0-b9bc-4f37-8f77-22cce2b8c5c9","07b - Soft tissue - NSTI, Shock","You return to the operating room. The edges of the skin appear healthy and viable and there is no additional necrotic tissue that you identify.","What would be your next steps?","1","23","23","1.00000000000000000000"
"1deb0e00-a592-4cd4-b0af-707b303edbf8","14d - Trauma - Colorectal injury","A 30 year old male presents to your trauma bay after sustaining GSW to the left buttock. EMS reports to you that his vitals in the field were normal. He is not actively bleeding from the wound and currently has one 25g IV.","How would you proceed?","4","2","7","0.87500000000000000000"
"1deb0e00-a592-4cd4-b0af-707b303edbf8","14d - Trauma - Colorectal injury","His airway is patent and protected. He has breath sounds bilaterally and is saturating 100% on RA. He has palpable pulses throughout, two large bore IV’s are established with HR 120, BP 100/60. His GCS is 15, his pupils are round and reactive. On full exposure he has a single aperture to left lower buttock. Digital rectal exam shows blood on gloved finger. You obtain full set of labs, his VBG comes back with a HCT of 45 and base deficit of -3. His KUB shows a projectile in the lower left abdomen. (if they performed a CT it shows an extraperitoneal Pelvic hematoma)","How would you proceed?","1","2","2","1.00000000000000000000"
"1deb0e00-a592-4cd4-b0af-707b303edbf8","14d - Trauma - Colorectal injury","How long would you wait wait before reversing his colostomy and would you perform any studies prior to reversing him?","","2","2","4","1.00000000000000000000"
"1deb0e00-a592-4cd4-b0af-707b303edbf8","14d - Trauma - Colorectal injury","Let's change the scenario. When you're performing your loop sigmoid colostomy, you also notice an injury to the right colon that is <50% in circumference?","How would you treat the right colon injury?","1","2","2","1.00000000000000000000"
"1deb0e00-a592-4cd4-b0af-707b303edbf8","14d - Trauma - Colorectal injury","Let's go back and now say the patient was found to have a devascularizing injury to the right colon. He is acidotic, coagulopathic and requiring ongoing resuscitation. ","How would you manage this patient?","4","2","5","0.62500000000000000000"
"1deb0e00-a592-4cd4-b0af-707b303edbf8","14d - Trauma - Colorectal injury","What are the indications for a colonic injury that requires resection?","","2","2","3","0.75000000000000000000"
"1deb0e00-a592-4cd4-b0af-707b303edbf8","14d - Trauma - Colorectal injury","What if on the CT you also visualize the bullet fragment lodged in the back musculature.","Would you attempt to retrieve the bullet fragment?","1","1","1","1.00000000000000000000"
"1deb0e00-a592-4cd4-b0af-707b303edbf8","14d - Trauma - Colorectal injury","When would you take the patient back to the operating room for re-exploration?","","1","1","1","1.00000000000000000000"
"1deb0e00-a592-4cd4-b0af-707b303edbf8","14d - Trauma - Colorectal injury","You get a CT of the abdomen and pelvis which demonstrates a 7x5cm rim-enhancing collection in the anterior abdomen. ","How would you manage this finding?","1","2","2","1.00000000000000000000"
"1deb0e00-a592-4cd4-b0af-707b303edbf8","14d - Trauma - Colorectal injury","You proceed to the OR for rigid proctoscopy and identify a full thickness injury to the rectum 5cm from the anal verge","How would you treat this injury?","1","2","2","1.00000000000000000000"
"1deb0e00-a592-4cd4-b0af-707b303edbf8","14d - Trauma - Colorectal injury","You resuscitate the patient over the next 24 hours and take him back to the OR. You perform an anastomosis and close his abdomen. On POD#7 he develops fevers, mild abdominal pain, and WBC of 17k. He is hemodynamically normal.","How would you proceed?","4","2","4","0.50000000000000000000"
"29674255-e46d-4377-acdc-b0c1407db669","05a - Breast - BRCA+ cancer","Before undergoing surgery, the patient changes her mind and decides on neoadjuvant chemotherapy. She subsequently has a favorable imaging response with tumor shrinkage on ultrasound; 2 axillary nodes are still slightly abnormal-appearing on ultrasound but you can no longer palpate them. She’s now ready for surgery and still interested in breast conservation. ","What surgery will you do?","2","76","139","0.91447368421052631579"
"29674255-e46d-4377-acdc-b0c1407db669","05a - Breast - BRCA+ cancer","Describe how you would do an axillary dissection with regards to the borders and operative steps","","4","66","183","0.69318181818181818182"
"29674255-e46d-4377-acdc-b0c1407db669","05a - Breast - BRCA+ cancer","Describe your axillary lymph node biopsy procedure:","","4","57","150","0.65789473684210526316"
"29674255-e46d-4377-acdc-b0c1407db669","05a - Breast - BRCA+ cancer","How will you perform surveillance for this patient?","","2","49","82","0.83673469387755102041"
"29674255-e46d-4377-acdc-b0c1407db669","05a - Breast - BRCA+ cancer","She undergoes lumpectomy with targeted axillary dissection. The final pathology shows near-complete response in the breast tumor and complete axillary response- ypT1N0. You present the patient at a multidisciplinary tumor board.","The panel asks you what additional treatments and consults will she need?","3","58","126","0.72413793103448275862"
"29674255-e46d-4377-acdc-b0c1407db669","05a - Breast - BRCA+ cancer","The axillary node biopsy returns positive for breast cancer; remainder of staging workup shows no metastatic disease. Genetic panel testing is sent and returns positive for a BRCA1 mutation. The patient is back in your clinic. She is interested in breast conservation and is not interested in risk-reducing surgery. ","What are your next steps?","3","73","97","0.44292237442922374429"
"29674255-e46d-4377-acdc-b0c1407db669","05a - Breast - BRCA+ cancer","The mammogram shows a 2.5 cm spiculated right breast mass, BIRADS-5; ultrasound shows the mass and 2 abnormal axillary lymph nodes. The mass is biopsied and returns as high-grade invasive ductal carcinoma, ER negative, PR negative and HER2 negative. Ki-67 index is 40%.","What is the next best step?","7","81","358","0.63139329805996472663"
"29674255-e46d-4377-acdc-b0c1407db669","05a - Breast - BRCA+ cancer","The patient is initially interested in breast conservation and wants up-front surgery","Which surgery would you offer her?","2","67","125","0.93283582089552238806"
"29674255-e46d-4377-acdc-b0c1407db669","05a - Breast - BRCA+ cancer","What if you cannot locate the clipped node or any blue or radioactive nodes?","How would you proceed?","1","52","52","1.00000000000000000000"
"29674255-e46d-4377-acdc-b0c1407db669","05a - Breast - BRCA+ cancer","You are in clinic evaluating a 38-year old woman with a palpable superior outer breast mass. She denies breast skin changes, nipple changes or lymphadenopathy. Menarche was at age 13, she had her first child at 27, and has never had breast biopsies. She has an IUD for contraception. Her family history is notable for 2 maternal aunts with breast cancer and her maternal grandmother had ovarian cancer. Her mother died when the patient was an infant.

She has no past medical history, never had surgeries and takes no medications.

On exam she has a palpable 2-3 cm mobile upper outer quadrant right breast mass. There are no breast skin or nipple changes. You can palpate a mobile right axillary lymph node.
","What is your initial workup?","3","81","224","0.92181069958847736626"
